"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2024","690.00","721.00","729.50","688.00","838.99K","-4.17%"
"10/20/2024","720.00","719.00","725.00","710.00","970.01K","0.14%"
"10/13/2024","719.00","722.00","735.00","714.00","1.19M","-0.42%"
"10/06/2024","722.00","714.00","740.00","710.50","2.41M","0.98%"
"09/29/2024","715.00","692.00","716.00","671.00","2.95M","3.32%"
"09/22/2024","692.00","688.00","707.00","681.00","2.58M","0.29%"
"09/15/2024","690.00","621.00","694.50","621.00","4.70M","11.29%"
"09/08/2024","620.00","612.00","626.50","608.00","1.37M","1.14%"
"09/01/2024","613.00","619.00","626.50","605.00","1.49M","1.32%"
"08/25/2024","605.00","629.50","629.50","602.00","1.57M","-4.50%"
"08/18/2024","633.50","625.00","633.50","607.00","982.39K","1.36%"
"08/11/2024","625.00","607.00","625.00","596.50","1.68M","2.80%"
"08/04/2024","608.00","586.50","608.00","579.50","1.49M","3.05%"
"07/28/2024","590.00","593.00","602.00","584.00","1.17M","-0.51%"
"07/21/2024","593.00","593.00","606.00","580.00","1.12M","-0.67%"
"07/14/2024","597.00","585.50","599.50","584.50","1.90M","2.23%"
"07/07/2024","584.00","569.50","585.00","564.00","1.71M","2.82%"
"06/30/2024","568.00","582.00","587.50","565.00","1.63M","-2.41%"
"06/23/2024","582.00","577.00","593.50","562.00","1.04M","3.01%"
"06/16/2024","565.00","575.50","584.50","565.00","878.65K","-1.48%"
"06/09/2024","573.50","597.00","597.00","571.50","1.47M","-3.86%"
"06/02/2024","596.50","600.00","603.50","586.00","1.11M","0.25%"
"05/26/2024","595.00","617.00","621.50","592.50","3.70M","-3.57%"
"05/19/2024","617.00","620.50","628.00","611.00","1.25M","-0.48%"
"05/12/2024","620.00","594.50","624.00","583.00","1.73M","5.62%"
"05/05/2024","587.00","597.00","610.00","582.00","1.65M","-1.51%"
"04/28/2024","596.00","592.00","624.00","592.00","738.63K","0.85%"
"04/21/2024","591.00","589.50","609.50","580.00","1.30M","0.17%"
"04/14/2024","590.00","601.00","605.00","581.00","2.10M","-1.83%"
"04/07/2024","601.00","622.00","627.00","600.50","1.11M","-3.06%"
