"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2024","7,142.96","7,314.42","7,355.55","7,142.96","72.33M","-2.34%"
"10/20/2024","7,314.23","7,416.81","7,452.74","7,272.21","365.35K","-1.37%"
"10/13/2024","7,415.73","7,334.59","7,484.67","7,326.41","404.60K","1.44%"
"10/06/2024","7,310.32","7,464.81","7,604.61","7,291.05","435.29K","-2.11%"
"09/29/2024","7,467.92","7,417.48","7,470.39","7,272.65","402.20K","0.53%"
"09/22/2024","7,428.30","7,291.47","7,474.44","7,291.47","529.69K","2.43%"
"09/15/2024","7,252.32","7,032.34","7,338.66","7,031.13","529.54K","3.27%"
"09/08/2024","7,022.85","6,931.30","7,109.75","6,920.88","479.25K","1.25%"
"09/01/2024","6,936.09","6,927.25","6,950.61","6,759.93","383.47K","0.56%"
"08/25/2024","6,897.54","6,967.95","7,016.04","6,872.55","533.46K","-0.93%"
"08/18/2024","6,961.96","6,863.05","7,005.27","6,863.05","483.04K","1.67%"
"08/11/2024","6,847.37","6,653.00","6,866.66","6,594.59","567.86K","3.00%"
"08/04/2024","6,647.80","6,535.57","6,647.80","6,397.10","553.00K","0.64%"
"07/28/2024","6,605.30","6,728.33","6,761.76","6,562.91","500.20K","-1.79%"
"07/21/2024","6,726.01","6,756.76","6,832.66","6,651.68","349.08K","-0.97%"
"07/14/2024","6,791.69","6,635.27","6,829.97","6,629.51","465.38K","2.16%"
"07/07/2024","6,648.23","6,506.42","6,648.23","6,489.35","412.87K","2.39%"
"06/30/2024","6,492.75","6,401.96","6,560.20","6,348.06","359.68K","1.26%"
"06/23/2024","6,411.91","6,202.64","6,442.79","6,184.72","472.33K","4.12%"
"06/16/2024","6,158.48","6,394.33","6,394.33","6,158.48","414.86K","-3.53%"
"06/09/2024","6,383.70","6,511.89","6,511.89","6,370.68","245.92K","-2.07%"
"06/02/2024","6,518.76","6,433.54","6,532.93","6,351.19","397.55K","1.33%"
"05/26/2024","6,433.10","6,630.22","6,630.22","6,341.54","1.02M","-2.82%"
