"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2024","941.00","963.00","977.00","941.00","777.46K","-2.28%"
"10/20/2024","963.00","969.50","969.50","946.50","624.14K","0.10%"
"10/13/2024","962.00","966.50","990.00","959.00","824.63K","-0.31%"
"10/06/2024","965.00","989.00","1,007.00","962.50","1.30M","-3.02%"
"09/29/2024","995.00","995.00","996.00","956.00","1.38M","-0.10%"
"09/22/2024","996.00","985.00","1,005.00","965.50","2.81M","2.68%"
"09/15/2024","970.00","940.00","994.00","940.00","2.27M","3.19%"
"09/08/2024","940.00","910.50","940.00","901.00","1.84M","3.47%"
"09/01/2024","908.50","895.00","913.00","886.00","1.73M","2.66%"
"08/25/2024","885.00","935.00","956.00","885.00","3.03M","-5.35%"
"08/18/2024","935.00","935.00","945.00","925.00","1.06M","0.48%"
"08/11/2024","930.50","926.50","936.50","905.50","1.55M","0.05%"
"08/04/2024","930.00","890.00","930.00","871.50","1.02M","3.22%"
"07/28/2024","901.00","920.00","925.00","895.00","2.50M","-2.01%"
"07/21/2024","919.50","909.00","928.00","902.50","1.51M","0.93%"
"07/14/2024","911.00","880.00","923.00","878.00","2.19M","3.52%"
"07/07/2024","880.00","851.00","880.00","841.00","1.46M","3.53%"
"06/30/2024","850.00","831.00","853.00","819.50","1.03M","2.35%"
"06/23/2024","830.50","837.00","850.00","807.00","1.79M","-0.66%"
"06/16/2024","836.00","849.00","854.50","832.00","881.82K","0.48%"
"06/09/2024","832.00","841.00","863.00","826.50","940.94K","-0.95%"
"06/02/2024","840.00","871.00","879.50","806.00","3.73M","-3.45%"
"05/26/2024","870.00","895.00","895.00","858.00","3.26M","-2.90%"
"05/19/2024","896.00","878.00","899.50","858.00","1.56M","2.40%"
"05/12/2024","875.00","882.00","898.00","860.50","2.23M","-0.57%"
"05/05/2024","880.00","942.50","955.50","870.00","2.52M","-6.58%"
"04/28/2024","942.00","950.00","975.00","925.00","1.29M","-1.36%"
"04/21/2024","955.00","949.00","956.50","928.50","1.06M","0.69%"
"04/14/2024","948.50","968.00","978.00","921.00","2.61M","-3.21%"
"04/07/2024","980.00","976.00","984.50","965.00","928.91K","0.51%"
"03/31/2024","975.00","989.00","1,010.00","970.00","2.45M","0.31%"
"03/24/2024","972.00","980.00","988.00","962.00","783.59K","-0.82%"
"03/17/2024","980.00","981.00","999.00","960.50","1.31M","-0.10%"
"03/10/2024","981.00","979.00","1,005.00","960.00","2.09M","0.15%"
"03/03/2024","979.50","937.00","979.50","934.50","2.42M","4.54%"
"02/25/2024","937.00","910.00","948.00","904.00","2.13M","3.19%"
"02/18/2024","908.00","906.00","930.00","900.00","781.18K","0.33%"
"02/11/2024","905.00","920.00","925.50","898.50","1.08M","-1.09%"
"02/04/2024","915.00","907.00","937.00","891.00","1.15M","0.11%"
"01/28/2024","914.00","924.00","935.00","888.00","2.34M","-1.19%"
"01/21/2024","925.00","884.00","925.00","872.50","1.50M","6.32%"
"01/14/2024","870.00","901.00","914.50","868.00","1.20M","-3.55%"
"01/07/2024","902.00","890.00","907.50","884.00","1.06M","0.67%"
"12/31/2023","896.00","888.00","899.00","873.50","1.60M","2.75%"
"12/24/2023","872.00","899.00","903.00","872.00","789.65K","-3.59%"
"12/17/2023","904.50","903.00","919.00","886.50","1.64M","-0.17%"
"12/10/2023","906.00","822.00","912.00","820.00","1.98M","9.69%"
"12/03/2023","826.00","830.00","834.50","821.00","1.25M","0.12%"
"11/26/2023","825.00","835.50","855.00","819.00","1.06M","-1.08%"
"11/19/2023","834.00","854.00","854.00","823.50","804.67K","-2.46%"
"11/12/2023","855.00","820.00","861.00","815.00","1.66M","4.14%"
